file	extension	original_path	relative_path	bytes	sha256	magic_hex	wad_hash	resolved_game_path	purpose	relevance	referenced_by
045c34105a9e68be.scb	.scb	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\045c34105a9e68be.scb	Braum.wad/045c34105a9e68be.scb	8952	cf7a08462398f9001b1f48ad2b86d8c12f8f9c33c8106a4f91a39ede12de8968	723364324d6573680300020000000000	045c34105a9e68be	assets/characters/braum/skins/skin01/particles/braum_skin01_p_cooldowntimer.scb	Static mesh, commonly VFX geometry	other skin/shared; see reference graph	fca448d5ff3861b5.bin
045e0e49d7c780ac.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\045e0e49d7c780ac.tex	Braum.wad/045e0e49d7c780ac.tex	87420	86b8620820dba5eb219c2e31211ec206bd09d542ade6b39160bec8878f77b303	5445580000010001010c000157570000	045e0e49d7c780ac	assets/characters/braum/skins/skin42/particles/braum_skin42_r_oil02.tex	League texture	other skin/shared; see reference graph	ab5fbb4cdcdfb2ef.bin
04a1595ce9ba020a.scb	.scb	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\04a1595ce9ba020a.scb	Braum.wad/04a1595ce9ba020a.scb	41204	9ec6cbd7af3e8ea01d43a458f19409136323049f83c12d56bf4e5e8f10ac8de4	723364324d6573680300020000000000	04a1595ce9ba020a	assets/characters/braum/skins/skin11/particles/braum_skin11_q_mis_goldbag.scb	Static mesh, commonly VFX geometry	other skin/shared; see reference graph	23b85b75eb659166.bin;36b00af025f54940.bin;42ee6bdbfc9d170b.bin;4fe453abcf9c5181.bin;a44281cd843a8348.bin;bb8b47c7d87589f7.bin;d8a52eb470baa538.bin;e1dfd1a549890037.bin;ed7ecf9170cfaaf8.bin
04c1824bee6a3593.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\04c1824bee6a3593.tex	Braum.wad/04c1824bee6a3593.tex	87452	ae63ad9da0de7afb9ea3aae4b39938ea92b1e454bb5ace4e5de7f8a38456d02a	5445580000028000010c000126260000	04c1824bee6a3593	assets/characters/braum/skins/skin51/particles/braum_skin51_ba_tar_flash_mesh_2x2.tex	League texture	other skin/shared; see reference graph	07f65b37fb75e834.bin;08e5b232f3994eee.bin;3079df1f381a87bc.bin;6c66319ffa4bb738.bin;6d6176ab099f3064.bin;70c57eae58af6c94.bin;7a1193b055eb059a.bin;7ca837cacce9639a.bin;b511ce2cc52d55a4.bin;d01bf01d5611bc53.bin;d56c87aaf7fac0ee.bin
04cbcd7ecab71c7d.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\04cbcd7ecab71c7d.tex	Braum.wad/04cbcd7ecab71c7d.tex	36	2045ec159a292a51b46725ab2135ff9e76521870e97a54e22c62c36137f8a6aa	5445580004000400010a000100000100	04cbcd7ecab71c7d	assets/characters/braum/skins/base/particles/common_black.tex	League texture	base or shared candidate	30222c04f6a99387.bin;555f0757faca4787.bin;901730f6bbf3f11d.bin;988e56a5bc6852e2.bin;d0b441e03335be65.bin;fca448d5ff3861b5.bin
04d71a0a99a320ad.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\04d71a0a99a320ad.tex	Braum.wad/04d71a0a99a320ad.tex	349556	6de7b470061ccc987873521dbfc29f3d6be9359543cd4fc311da75e30b4136f3	5445580000040002010a000148828661	04d71a0a99a320ad	assets/characters/braum/skins/skin25/braum_skin25_tx_cm.tex	League texture	other skin/shared; see reference graph	3f6a40609700ee85.bin
04e2f8faf141136d.skn	.skn	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\04e2f8faf141136d.skn	Braum.wad/04e2f8faf141136d.skn	328878	b1f7b9918511f2dddb21baa42ed3c9feadadcdf1c71bb696aef4ac45de6f10c9	33221100040001000400000042726175	04e2f8faf141136d	assets/characters/braum/skins/skin24/braum_skin24.skn	Skinned mesh with submeshes and vertex weights	other skin/shared; see reference graph	3f6a40609700ee85.bin;88b5dd6dc0e099bd.bin;8cf62c85e1e2e7f9.bin;992d3c62ff62964c.bin;a582cf4ad353f261.bin;b30d6dd1b38ee53c.bin;c5c66176cca69ad3.bin;caacae9cc35f0267.bin;d3dbd3f84a5b8600.bin
051bca2260b416aa.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\051bca2260b416aa.tex	Braum.wad/051bca2260b416aa.tex	21884	d6812f738522559de80441f424e9a118372a89d07711fac6eac13441e9ff93b5	5445580080008000010c000134340000	051bca2260b416aa	assets/characters/braum/skins/skin02/particles/braum_skin02_ba_confetti.tex	League texture	other skin/shared; see reference graph	d0b441e03335be65.bin
05357ee519b9e97c.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\05357ee519b9e97c.tex	Braum.wad/05357ee519b9e97c.tex	87420	f0c44f14633332894993194c3d1bb89b6cbb7a4506b4e395c0cfda5151ecd4f3	5445580000010001010c00013c3c0000	05357ee519b9e97c	assets/characters/braum/skins/skin42/particles/braum_skin42_w_shield_decal01.tex	League texture	other skin/shared; see reference graph	ab5fbb4cdcdfb2ef.bin
053ad0600c627895.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\053ad0600c627895.tex	Braum.wad/053ad0600c627895.tex	43716	bf0dfebbaa10cd27be038ddf5dc2b45cdcfc6626cfad5ef25680bce92b849955	5445580000010001010a000161206200	053ad0600c627895	assets/characters/braum/skins/skin51/particles/braum_skin51_flash_09.tex	League texture	other skin/shared; see reference graph	7a1193b055eb059a.bin
0545ea3906a86a94.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\0545ea3906a86a94.tex	Braum.wad/0545ea3906a86a94.tex	21884	ec77075c48d79b5f5942023b9a5205fde37bbd9de6dd15fe3bb2179058bb2a5c	5445580080008000010c00011a1a0000	0545ea3906a86a94	assets/characters/braum/skins/skin51/particles/braum_skin51_q_groundsmoke02.tex	League texture	other skin/shared; see reference graph	07f65b37fb75e834.bin;08e5b232f3994eee.bin;3079df1f381a87bc.bin;6c66319ffa4bb738.bin;6d6176ab099f3064.bin;70c57eae58af6c94.bin;7ca837cacce9639a.bin;b511ce2cc52d55a4.bin;d01bf01d5611bc53.bin;d56c87aaf7fac0ee.bin
056cd1d7ed46ce6d.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\056cd1d7ed46ce6d.tex	Braum.wad/056cd1d7ed46ce6d.tex	87420	0a3cf4da02ad4dccfd7dd5f0be35df615de23698376f58f0cf49e3a18123a508	5445580000010001010c00013c3c0000	056cd1d7ed46ce6d	assets/characters/braum/skins/skin02/particles/braum_skin02_p_base.tex	League texture	other skin/shared; see reference graph	d0b441e03335be65.bin
